Date,Open,High,Low,Close,Adj Close,Volume
2014-03-01,7.588750,7.900000,6.615000,6.772500,5.254817,270594400
2014-04-01,6.863750,6.986250,6.363750,6.713750,5.209232,250525600
2014-05-01,6.697500,6.865000,6.257500,6.428750,4.988100,285789600
2014-06-01,6.460000,6.907500,6.380000,6.721250,5.215052,238680000
2014-07-01,6.702500,7.062500,6.583750,6.852500,5.387232,252547200
2014-08-01,6.860000,7.483750,6.830000,7.437500,5.847141,202398400
2014-09-01,7.432500,7.770000,7.306250,7.561250,5.944430,279784000
2014-10-01,7.690000,8.363750,7.383750,8.357500,6.570416,416768000
2014-11-01,8.337500,8.781250,8.225000,8.730000,6.916562,180912000
2014-12-01,8.712500,8.795000,7.602500,7.865000,6.231243,246738400
2015-01-01,8.057500,8.962500,7.695000,8.520000,6.750185,248196400
2015-02-01,8.672500,9.320000,8.512500,9.177500,7.271105,154541200
2015-03-01,9.177500,9.272500,8.595000,8.770000,6.948254,226811200
2015-04-01,8.707500,9.110000,7.717500,7.745000,6.136171,330063600
2015-05-01,7.757500,8.050000,7.627500,7.967500,6.312453,195726400
2015-06-01,7.992500,8.180000,7.647500,7.925000,6.278780,194984800
2015-07-01,7.990000,8.950000,7.660000,8.455000,6.797478,188061600
2015-08-01,8.500000,9.115000,7.950000,8.575000,6.893952,176548000
2015-09-01,8.475000,9.580000,8.375000,9.545000,7.673792,179313400
2015-10-01,9.515000,9.730000,8.620000,9.080000,7.299951,220369200
2015-11-01,9.040000,9.305000,7.860000,8.340000,6.765288,153220800
2015-12-01,8.350000,8.530000,7.935000,8.375000,6.793678,134513400
2016-01-01,8.230000,9.035000,7.880000,8.955000,7.264166,205993200
2016-02-01,8.940000,8.950000,7.955000,8.410000,6.822071,239442800
2016-03-01,8.605000,9.660000,8.560000,9.510000,7.714375,162468800
2016-04-01,9.430000,10.235000,8.930000,9.400000,7.625145,175187800
2016-05-01,9.340000,9.765000,9.090000,9.720000,7.884724,97320200
2016-06-01,9.685000,9.880000,8.655000,8.925000,7.239831,164314400
2016-07-01,8.940000,9.240000,8.155000,8.215000,6.736690,187835400
2016-08-01,8.300000,8.320000,7.820000,7.930000,6.502976,250475200
2016-09-01,7.950000,8.285000,7.880000,7.890000,6.470175,188675400
2016-10-01,7.915000,8.355000,7.595000,7.630000,6.256963,202599200
2016-11-01,7.595000,7.670000,6.870000,7.240000,5.999363,286255000
2016-12-01,7.285000,7.540000,7.080000,7.415000,6.144374,143251600
2017-01-01,7.390000,7.690000,6.790000,6.885000,5.705195,360957200
2017-02-01,6.975000,7.650000,6.710000,7.570000,6.272814,283884800
2017-03-01,7.695000,7.960000,7.465000,7.900000,6.546265,276973400
2017-04-01,7.865000,7.885000,7.150000,7.280000,6.032508,246019000
2017-05-01,7.275000,7.845000,7.245000,7.550000,6.256241,260865600
2017-06-01,7.545000,7.810000,7.265000,7.510000,6.317447,256805000
2017-07-01,7.595000,7.965000,7.420000,7.900000,6.645517,243465200
2017-08-01,7.925000,8.075000,6.940000,7.500000,6.309034,397810800
2017-09-01,7.525000,7.540000,7.105000,7.295000,6.136588,206357600
2017-10-01,7.295000,7.545000,7.075000,7.425000,6.245944,244964800
2017-11-01,7.450000,7.860000,7.160000,7.780000,6.633675,156383000
2017-12-01,7.640000,8.185000,7.490000,8.110000,6.915052,165341200
2018-01-01,8.135000,9.355000,8.010000,9.005000,7.678179,335756000
2018-02-01,9.045000,9.045000,8.440000,8.830000,7.528965,218224000
2018-03-01,8.855000,9.270000,8.685000,8.925000,7.609968,196813800
2018-04-01,8.895000,9.110000,8.245000,8.835000,7.533228,355883200
2018-05-01,8.815000,9.250000,8.615000,9.095000,7.754920,212304200
2018-06-01,9.135000,9.755000,9.070000,9.715000,8.283567,205172200
2018-07-01,9.695000,10.340000,9.455000,10.090000,8.822228,286051000
2018-08-01,10.125000,10.570000,10.060000,10.385000,9.080164,188746200
2018-09-01,10.430000,10.650000,9.890000,10.170000,8.892176,175596500
2018-10-01,10.340000,10.520000,8.850000,9.470000,8.280131,297884100
2018-11-01,9.390000,9.890000,8.950000,9.860000,8.712481,156621400
2018-12-01,9.910000,10.050000,9.070000,9.520000,8.412052,196921600
2019-01-01,9.500000,10.820000,9.470000,10.800000,9.543084,250554800
2019-02-01,10.850000,10.940000,10.380000,10.720000,9.523949,136647000
2019-03-01,10.790000,11.120000,10.360000,10.930000,9.710519,141193700
2019-04-01,11.070000,11.380000,10.340000,10.760000,9.559486,245460500
2019-05-01,10.810000,10.880000,10.010000,10.470000,9.301843,276817400
2019-06-01,10.560000,10.900000,10.410000,10.700000,9.506182,168121400
2019-07-01,10.700000,11.640000,10.370000,11.320000,10.198654,267423100
2019-08-01,11.210000,11.500000,10.770000,11.490000,10.351814,207112700
2019-09-01,11.390000,12.080000,10.810000,11.370000,10.243702,235964500
2019-10-01,11.210000,11.310000,8.760000,9.590000,8.640027,556815500
2019-11-01,9.620000,10.120000,9.500000,9.830000,8.965302,263596800
2019-12-01,9.720000,10.370000,9.650000,10.320000,9.412199,161843600
2020-01-01,10.300000,11.270000,9.990000,10.960000,9.995902,332480200
2020-02-01,10.880000,11.440000,9.990000,10.070000,9.184191,221884100
2020-03-01,10.130000,10.540000,6.760000,8.210000,7.487805,439152300
2020-04-01,7.870000,9.510000,7.460000,9.230000,8.418081,237139000
2020-05-01,9.080000,9.410000,8.370000,9.100000,8.299518,198152100
2020-06-01,9.160000,9.720000,8.840000,9.660000,8.933716,222075800
2020-07-01,9.560000,12.990000,9.530000,12.850000,11.883876,297996500
2020-08-01,12.790000,13.030000,12.520000,12.600000,11.652673,159144700
2020-09-01,12.580000,13.940000,12.200000,13.810000,12.771699,173150800
2020-10-01,13.840000,16.620001,13.570000,14.270000,13.197114,282082100
2020-11-01,14.360000,15.600000,14.170000,15.220000,14.227697,147198800
2020-12-01,15.490000,17.030001,15.170000,16.950001,15.844907,169285500
2021-01-01,17.389999,19.070000,16.879999,16.879999,15.779469,186544400
2021-02-01,17.190001,18.160000,16.940001,17.120001,16.003820,144550700
2021-03-01,17.420000,19.370001,17.379999,18.719999,17.499504,214862100
2021-04-01,18.920000,19.559999,17.240000,18.080000,16.901232,152799600
2021-05-01,18.250000,19.480000,17.809999,19.340000,18.079082,101112900
2021-06-01,19.170000,21.510000,19.080000,21.190001,20.015129,158644200
2021-07-01,21.180000,22.139999,20.500000,22.120001,20.893568,117444600
2021-08-01,22.290001,24.139999,22.209999,23.820000,22.499311,102875600
2021-09-01,23.600000,24.080000,22.070000,22.250000,21.016357,136222100
2021-10-01,22.340000,24.280001,21.730000,22.280001,21.044695,220017000
2021-11-01,22.540001,24.090000,22.139999,22.580000,21.514780,125884300
2021-12-01,22.850000,25.600000,21.889999,25.309999,24.115992,117990000
2022-01-01,25.389999,26.389999,21.719999,23.570000,22.458078,238120700
